User,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total
Zeni,4,0,6,0,8,4,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,35
Barinade88,1,0,0,0,2,1,2,4,6,25,34,0,0,45,0,0,0,0,0,0,0,1,0,0,121
breezyexcursion,1,1,0,0,0,0,0,0,0,18,12,0,2,5,3,4,9,12,2,0,10,19,24,2,124
Chucky2sRevenge,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,2,4,3,6,1,2,1,1,4,30
Armando,0,8,2,7,4,13,3,1,0,0,0,1,0,4,0,0,15,41,28,26,26,5,23,50,257
crackprosh,0,5,1,0,0,0,0,0,0,0,0,8,31,28,13,2,22,7,23,23,39,16,48,55,321
Heyzeus,0,0,0,1,0,0,0,0,0,0,0,0,0,6,5,1,0,4,1,1,2,1,0,0,22
ChrasSC,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7
Hosea,0,0,0,0,0,1,0,0,3,16,30,4,6,8,1,4,12,14,21,11,2,3,10,0,146
wlof aubro,0,0,0,0,0,0,0,1,0,6,2,14,3,0,0,19,19,16,18,17,1,23,18,0,157
cdorner,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,2,0,12,6,2,1,0,0,4,31
Hiten,0,0,0,0,0,0,0,0,5,13,26,29,18,27,5,5,21,3,5,31,6,42,22,82,340
renavlt,0,0,0,0,0,0,0,0,0,4,9,1,1,5,0,1,4,10,3,12,8,2,2,0,62
Sicachu,0,0,0,0,0,0,0,0,0,1,37,10,5,4,4,11,3,49,17,24,11,1,6,11,194
Fat Mac,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,7,9,19
TK,0,0,0,0,0,0,0,0,0,0,18,24,30,16,14,20,25,0,0,0,22,22,7,40,238
bokchoiii,0,0,0,0,0,0,0,0,0,0,0,1,36,0,1,0,11,57,34,4,0,0,1,0,145
East,0,0,0,0,0,0,0,0,0,0,0,0,73,23,13,0,6,2,11,1,9,3,0,0,141
Tatsu,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,0,0,6
ari5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,2,7
SwordMaster13X,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
NigerianKnightmare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,13
Lee🐧,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,11,6,1,0,4,4,39
zithers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,2,0,0,12
soup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,10,24,1,2,11,53
Uglysteve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15
croon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TOTAL,6,16,9,11,14,20,11,8,14,83,170,93,207,174,72,76,162,247,207,174,168,146,175,275,2538
