User,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total
evae,2020-09-09,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
Armando,2020-09-09,39,29,1,0,0,0,0,0,0,0,0,0,4,0,0,1,5,19,1,35,0,10,13,24,181
Heyzeus,2020-09-09,20,0,0,0,0,0,0,0,0,3,5,14,12,1,1,0,4,1,1,1,1,1,15,5,85
Hosea,2020-09-09,40,0,43,0,2,7,0,6,8,21,17,6,7,16,1,1,2,0,1,3,1,0,0,0,182
crackprosh,2020-09-09,10,2,0,0,0,0,0,0,0,0,0,0,7,18,7,3,13,21,2,3,0,6,24,6,122
badname,2020-09-09,5,8,2,0,18,25,0,9,3,49,13,15,28,19,32,3,21,24,0,8,42,89,28,5,446
Tatsu,2020-09-09,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,1,0,0,0,7
breezyexcursion,2020-09-09,5,5,0,0,0,0,0,6,6,12,13,8,19,16,32,1,0,6,0,1,6,33,18,0,187
Vulgorn,2020-09-09,18,3,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,27,1,32,24,0,1,3,118
Barinade88,2020-09-09,5,17,25,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,65
Hiten,2020-09-09,2,0,0,0,0,0,0,0,2,3,1,41,21,16,3,0,1,0,1,0,4,56,96,17,264
3ric,2020-09-09,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
DEKMS,2020-09-09,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
zithers,2020-09-09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,16
teep,2020-09-09,0,0,0,1,0,0,0,0,1,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,8
Sicachu,2020-09-09,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,47,0,92
Uglysteve,2020-09-09,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,5,0,0,0,0,2,2,0,0,23
cdorner,2020-09-09,0,0,0,0,0,0,0,3,3,12,12,1,18,0,0,0,2,0,0,0,0,5,0,0,56
ari5,2020-09-09,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,0,0,0,0,0,1,4,1,0,13
renavlt,2020-09-09,0,0,0,0,0,0,0,0,2,2,2,5,3,2,3,2,2,0,0,0,0,15,10,4,52
bokchoiii,2020-09-09,0,0,0,0,0,0,0,0,0,16,49,42,39,4,11,0,18,9,0,0,0,0,0,0,188
MrMallard,2020-09-09,0,0,0,0,0,0,0,0,0,0,1,0,0,26,8,0,0,3,0,0,0,0,0,0,38
TheSwaggersaurus,2020-09-09,0,0,0,0,0,0,0,0,0,0,1,9,6,3,20,3,0,0,0,0,0,0,0,0,42
soup,2020-09-09,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,6,13,0,31
ChrasSC,2020-09-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Paul,2020-09-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,0,0,0,0,38
TOTAL,2020-09-09,230,72,72,2,21,33,2,36,29,118,115,150,168,149,128,19,69,112,12,116,82,271,274,71,2351
