User,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total
Fat Mac,2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,14
Fat Mac,2020-03-12,0,10,0,0,0,0,0,0,0,1,1,0,13,0,19,3,3,0,0,0,0,0,0,1,51
Fat Mac,2020-03-13,0,0,0,0,0,0,0,0,1,0,0,1,0,26,2,11,0,0,0,0,0,0,0,1,42
Fat Mac,2020-03-15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4
Fat Mac,2020-03-16,8,3,0,0,0,0,0,0,0,7,7,1,0,0,0,0,13,0,0,0,0,0,0,14,53
Fat Mac,2020-03-17,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,10
Fat Mac,2020-03-18,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Fat Mac,2020-03-19,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Fat Mac,2020-03-20,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,1,0,0,0,9
Fat Mac,2020-03-21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Fat Mac,2020-03-22,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Fat Mac,2020-03-23,0,3,0,0,0,0,0,0,0,4,51,8,0,0,0,0,0,0,0,0,0,0,10,6,82
Fat Mac,2020-03-24,0,0,0,0,0,0,0,0,0,9,6,18,0,1,0,1,1,0,0,0,0,0,1,2,39
Fat Mac,2020-03-25,0,0,0,0,0,0,0,0,0,5,16,15,0,0,1,0,2,3,2,0,0,0,0,0,44
Fat Mac,2020-03-26,2,0,0,0,0,0,0,0,0,3,13,0,0,0,1,7,1,0,0,1,2,0,0,0,30
Fat Mac,2020-03-27,0,0,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6
Fat Mac,2020-03-28,0,0,0,0,0,0,0,0,0,16,10,0,0,0,0,0,0,4,0,0,0,0,0,0,30
Fat Mac,2020-03-29,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5
Fat Mac,2020-03-30,0,0,0,0,0,0,0,0,0,0,4,2,3,0,0,0,0,0,0,0,0,0,0,12,21
Fat Mac,2020-03-31,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,6
Fat Mac,2020-04-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,7,9,19
Fat Mac,2020-04-02,0,0,0,0,0,0,0,1,0,1,5,0,0,0,2,11,19,0,0,0,0,0,0,0,39
Fat Mac,2020-04-03,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11
Fat Mac,2020-04-06,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Fat Mac,2020-04-07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,1,0,0,0,0,0,0,0,10
Fat Mac,2020-04-08,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3
Fat Mac,2020-04-09,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,16,0,0,0,24
Fat Mac,2020-04-10,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,6
Fat Mac,2020-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Fat Mac,2020-04-13,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,6,3,0,0,0,0,0,0,0,15
Fat Mac,2020-04-15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Fat Mac,2020-04-16,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,7
Fat Mac,2020-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
Fat Mac,2020-04-19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,8
Fat Mac,2020-04-20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,4
Fat Mac,2020-04-21,1,0,0,0,0,0,0,0,0,5,0,16,0,0,0,0,1,0,0,0,0,0,0,0,23
Fat Mac,2020-04-22,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Fat Mac,2020-04-23,62,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,31,15,7,146
Fat Mac,2020-04-24,0,0,0,0,0,0,0,0,0,0,1,5,3,8,0,0,0,0,0,0,0,0,0,0,17
Fat Mac,2020-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
Fat Mac,2020-04-28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Fat Mac,2020-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
Fat Mac,2020-05-01,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5
Fat Mac,2020-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Fat Mac,2020-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Fat Mac,2020-05-04,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
Fat Mac,2020-05-05,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Fat Mac,2020-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
Fat Mac,2020-05-07,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Fat Mac,2020-05-08,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7
Fat Mac,2020-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Fat Mac,2020-05-10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Fat Mac,2020-05-11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
Fat Mac,2020-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Fat Mac,2020-05-13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
Fat Mac,2020-05-14,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,14,0,0,0,0,1,19
Fat Mac,2020-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
Fat Mac,2020-05-16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5
Fat Mac,2020-05-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fat Mac,2020-05-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Fat Mac,2020-05-29,1,7,10,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,25
Fat Mac,2020-05-30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Fat Mac,2020-05-31,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,18
Fat Mac,2020-06-01,0,0,0,0,0,0,0,0,0,3,13,0,0,1,1,0,0,3,0,0,0,0,0,8,29
Fat Mac,2020-06-02,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Fat Mac,2020-06-06,0,0,0,0,0,0,0,1,1,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,10
Fat Mac,2020-06-07,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Fat Mac,2020-06-10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
Fat Mac,2020-06-11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
Fat Mac,2020-06-15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Fat Mac,2020-06-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Fat Mac,2020-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8
Fat Mac,2020-06-20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fat Mac,2020-06-21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Fat Mac,2020-06-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Fat Mac,2020-06-23,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Fat Mac,2020-06-24,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,8,0,0,28,5,13,0,0,0,59
Fat Mac,2020-06-25,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Fat Mac,2020-06-26,0,0,0,0,0,0,0,0,0,2,4,2,0,0,1,0,0,2,0,9,0,0,0,0,20
Fat Mac,2020-06-27,14,10,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,30
Fat Mac,2020-06-28,0,3,33,0,0,0,0,0,0,0,0,0,4,0,23,0,0,1,1,0,0,0,0,0,65
Fat Mac,2020-06-29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,10,6,1,5,1,0,40
Fat Mac,2020-06-30,1,0,0,0,0,0,0,0,0,2,0,0,25,0,0,0,5,5,7,5,1,0,0,7,58
Fat Mac,2020-07-01,4,0,0,0,0,0,0,0,4,0,1,0,0,2,1,11,0,0,0,0,0,0,0,0,23
Fat Mac,2020-07-02,1,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,2,0,0,19
Fat Mac,2020-07-03,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Fat Mac,2020-07-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,15,22
Fat Mac,2020-07-05,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,5,0,1,0,0,1,0,0,19
Fat Mac,2020-07-06,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8
Fat Mac,2020-07-07,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,31
Fat Mac,2020-07-08,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3
Fat Mac,2020-07-09,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,20,0,0,0,0,0,4,27
Fat Mac,2020-07-10,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Fat Mac,2020-07-11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Fat Mac,2020-07-12,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,18
Fat Mac,2020-07-13,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,11,0,1,0,9,1,37
Fat Mac,2020-07-14,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,5,0,0,0,0,0,11
Fat Mac,2020-07-15,0,21,0,0,0,0,0,1,3,0,3,1,14,0,0,0,0,0,0,2,0,0,0,0,45
Fat Mac,2020-07-16,0,0,0,0,0,0,0,0,0,1,4,6,2,23,2,3,3,2,0,1,0,0,0,1,48
Fat Mac,2020-07-17,0,2,0,0,0,0,0,0,0,0,0,1,29,5,5,0,0,0,5,1,0,0,2,1,51
Fat Mac,2020-07-18,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,11,0,0,0,1,0,0,0,0,16
Fat Mac,2020-07-19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4
Fat Mac,2020-07-20,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11,7,0,27,4,3,1,59
Fat Mac,2020-07-21,14,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1,1,0,0,0,0,0,29
