userdate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
../stats/daily/2020-03-11.csv:Fat Mac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,14
../stats/daily/2020-03-12.csv:Fat Mac,0,10,0,0,0,0,0,0,0,1,1,0,13,0,19,3,3,0,0,0,0,0,0,1,51
../stats/daily/2020-03-13.csv:Fat Mac,0,0,0,0,0,0,0,0,1,0,0,1,0,26,2,11,0,0,0,0,0,0,0,1,42
../stats/daily/2020-03-15.csv:Fat Mac,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4
../stats/daily/2020-03-16.csv:Fat Mac,8,3,0,0,0,0,0,0,0,7,7,1,0,0,0,0,13,0,0,0,0,0,0,14,53
../stats/daily/2020-03-17.csv:Fat Mac,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,10
../stats/daily/2020-03-18.csv:Fat Mac,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
../stats/daily/2020-03-19.csv:Fat Mac,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
../stats/daily/2020-03-20.csv:Fat Mac,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,1,0,0,0,9
../stats/daily/2020-03-21.csv:Fat Mac,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
../stats/daily/2020-03-22.csv:Fat Mac,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
../stats/daily/2020-03-23.csv:Fat Mac,0,3,0,0,0,0,0,0,0,4,51,8,0,0,0,0,0,0,0,0,0,0,10,6,82
../stats/daily/2020-03-24.csv:Fat Mac,0,0,0,0,0,0,0,0,0,9,6,18,0,1,0,1,1,0,0,0,0,0,1,2,39
../stats/daily/2020-03-25.csv:Fat Mac,0,0,0,0,0,0,0,0,0,5,16,15,0,0,1,0,2,3,2,0,0,0,0,0,44
../stats/daily/2020-03-26.csv:Fat Mac,2,0,0,0,0,0,0,0,0,3,13,0,0,0,1,7,1,0,0,1,2,0,0,0,30
../stats/daily/2020-03-27.csv:Fat Mac,0,0,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6
../stats/daily/2020-03-28.csv:Fat Mac,0,0,0,0,0,0,0,0,0,16,10,0,0,0,0,0,0,4,0,0,0,0,0,0,30
../stats/daily/2020-03-29.csv:Fat Mac,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5
../stats/daily/2020-03-30.csv:Fat Mac,0,0,0,0,0,0,0,0,0,0,4,2,3,0,0,0,0,0,0,0,0,0,0,12,21
../stats/daily/2020-03-31.csv:Fat Mac,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,6
../stats/daily/2020-04-01.csv:Fat Mac,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,7,9,19
../stats/daily/2020-04-02.csv:Fat Mac,0,0,0,0,0,0,0,1,0,1,5,0,0,0,2,11,19,0,0,0,0,0,0,0,39
../stats/daily/2020-04-03.csv:Fat Mac,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11
