User,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total
Muzic,2020-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,41,14,2,0,3,0,85
Muzic,2020-05-31,0,0,1,1,2,0,0,1,0,2,3,12,0,1,1,3,11,20,3,17,14,0,0,0,92
Muzic,2020-06-01,0,0,1,0,0,0,0,0,1,24,4,18,0,2,6,17,29,28,23,5,10,20,0,0,188
Muzic,2020-06-02,0,0,0,0,0,5,1,0,0,0,0,8,7,0,4,1,10,6,1,1,4,3,0,0,51
Muzic,2020-06-03,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4,1,2,6,6,39,3,0,0,0,64
Muzic,2020-06-04,0,0,0,0,0,0,0,0,0,1,0,2,0,3,1,1,15,1,28,0,0,0,0,0,52
Muzic,2020-06-05,0,3,0,0,0,0,0,0,0,0,1,2,1,0,6,3,3,11,27,5,0,0,0,0,62
Muzic,2020-06-06,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,12,3,6,3,2,18,0,2,0,51
Muzic,2020-06-07,1,0,0,0,0,0,1,0,5,4,13,0,3,6,1,0,0,17,17,2,15,13,0,0,98
Muzic,2020-06-08,0,0,0,0,0,0,0,0,0,0,1,2,7,3,7,2,11,1,6,26,0,0,0,0,66
Muzic,2020-06-09,0,0,0,7,0,0,0,0,0,0,0,4,2,0,7,7,1,10,15,9,0,0,0,0,62
Muzic,2020-06-10,0,0,0,0,0,0,0,0,0,0,2,0,1,6,3,12,12,0,0,0,0,0,0,0,36
