User,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total
Tatsu,2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,4
Tatsu,2020-03-12,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
Tatsu,2020-03-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,1,1,0,12
Tatsu,2020-03-14,2,0,2,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,1,0,0,0,0,0,12
Tatsu,2020-03-15,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,10
Tatsu,2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,4
Tatsu,2020-03-17,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,1,7
Tatsu,2020-03-18,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,19,0,0,2,0,2,4,0,0,33
Tatsu,2020-03-19,3,0,0,0,0,0,0,1,4,1,0,0,1,3,0,0,0,0,0,0,1,1,0,0,15
Tatsu,2020-03-20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,1,0,0,1,8
Tatsu,2020-03-21,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
Tatsu,2020-03-22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
Tatsu,2020-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,7
Tatsu,2020-03-26,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,1,0,1,0,0,0,0,1,1,15
Tatsu,2020-03-27,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,2,0,2,0,1,10
Tatsu,2020-03-28,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,6
Tatsu,2020-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
Tatsu,2020-03-30,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,2,1,9
Tatsu,2020-03-31,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,1,0,0,0,7
Tatsu,2020-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,0,0,6
Tatsu,2020-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,27,0,29
Tatsu,2020-04-03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
Tatsu,2020-04-06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,5
Tatsu,2020-04-07,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,1,1,5,3,0,17
Tatsu,2020-04-08,0,1,0,0,0,0,0,0,0,0,0,0,1,5,3,0,0,0,1,0,0,0,0,0,11
Tatsu,2020-04-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,5
Tatsu,2020-04-10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,7,0,1,13
Tatsu,2020-04-11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4
Tatsu,2020-04-12,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4
Tatsu,2020-04-13,0,1,0,0,0,0,0,0,0,0,5,0,0,3,1,0,2,0,0,0,0,0,0,0,12
Tatsu,2020-04-14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3
Tatsu,2020-04-15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
