User,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total
breezyexcursion,2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,5,10,3,16,22,8,0,1,0,15,5,4,89
breezyexcursion,2020-03-12,0,0,0,0,0,0,0,0,11,18,15,38,0,42,18,6,4,0,15,2,2,11,0,5,187
breezyexcursion,2020-03-13,0,0,0,0,0,0,0,0,3,3,1,7,0,4,7,7,4,0,7,2,42,14,9,0,110
breezyexcursion,2020-03-14,0,0,0,0,0,0,0,0,0,0,2,5,12,1,0,8,0,7,0,0,3,0,0,0,38
breezyexcursion,2020-03-15,0,0,1,0,0,0,0,0,0,0,2,10,3,2,0,3,1,0,0,8,4,0,9,2,45
breezyexcursion,2020-03-16,3,0,0,0,0,0,0,0,8,21,4,34,11,17,26,10,8,0,24,13,33,0,11,13,236
breezyexcursion,2020-03-17,2,0,1,0,0,0,0,0,0,45,38,0,0,1,14,26,5,5,6,0,25,54,44,3,269
breezyexcursion,2020-03-18,2,0,0,0,0,0,0,0,1,24,3,52,38,7,10,9,7,7,23,2,18,30,0,4,237
breezyexcursion,2020-03-19,14,1,0,0,0,0,0,0,0,20,11,23,26,22,43,27,0,16,29,27,5,2,5,10,281
breezyexcursion,2020-03-20,7,0,0,0,0,0,0,0,1,6,14,14,4,13,3,0,4,2,13,9,4,3,8,5,110
breezyexcursion,2020-03-21,0,0,0,0,0,0,0,0,0,0,6,23,6,13,1,2,22,5,0,4,40,10,3,15,150
breezyexcursion,2020-03-22,21,0,0,0,0,0,0,0,0,0,0,11,10,6,0,10,1,11,4,22,15,4,11,5,131
breezyexcursion,2020-03-23,3,3,0,0,0,0,0,0,1,2,20,3,0,24,1,33,50,48,11,0,0,8,79,13,299
breezyexcursion,2020-03-24,0,0,0,0,0,0,0,0,0,7,7,11,16,12,19,12,2,2,4,3,8,2,5,13,123
breezyexcursion,2020-03-25,7,0,0,0,0,0,0,0,5,2,6,29,2,0,1,1,7,5,0,3,0,2,24,10,104
breezyexcursion,2020-03-26,0,0,0,0,0,0,0,0,0,1,11,10,2,0,13,2,4,2,5,0,0,0,0,84,134
breezyexcursion,2020-03-27,21,0,0,0,0,0,0,0,0,1,7,2,2,1,2,14,7,0,0,0,6,5,1,2,71
breezyexcursion,2020-03-28,9,0,0,0,0,0,0,0,0,0,0,6,36,14,12,32,2,7,16,5,3,8,5,14,169
breezyexcursion,2020-03-29,3,0,0,3,0,0,0,0,0,0,0,10,1,22,0,8,0,1,3,1,0,11,3,2,68
