User,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total
soup,2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10
soup,2020-03-12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,8,2,0,0,24
soup,2020-03-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,14
soup,2020-03-14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,16
soup,2020-03-15,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,0,25
soup,2020-03-16,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,5,0,5,5,4,0,0,24
soup,2020-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,3,0,0,4,0,16
soup,2020-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
soup,2020-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
soup,2020-03-20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4
soup,2020-03-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,6,0,0,13
soup,2020-03-22,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,5,5,18
soup,2020-03-23,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,7,0,40
soup,2020-03-24,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,4,0,0,16
soup,2020-03-25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
soup,2020-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,11,19
soup,2020-03-27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,6,0,1,11
soup,2020-03-28,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,16
soup,2020-03-29,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,16,0,0,0,51
soup,2020-03-30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,19,22
soup,2020-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
soup,2020-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,10,24,1,2,11,53
soup,2020-04-02,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,1,12,13,14,32,20,121
soup,2020-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,10
