userdate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
../stats/daily/2020-03-11.csv:wlof aubro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,41,0,2,3,4,36,5,0,107
../stats/daily/2020-03-12.csv:wlof aubro,0,0,0,0,0,0,0,0,7,17,28,22,13,2,0,0,0,6,21,1,0,6,0,0,123
../stats/daily/2020-03-13.csv:wlof aubro,0,0,0,0,0,0,0,0,2,0,19,18,10,0,25,0,1,27,63,10,66,9,0,0,250
../stats/daily/2020-03-14.csv:wlof aubro,0,0,0,0,0,0,0,0,0,0,8,21,45,25,0,14,4,16,28,15,16,38,2,1,233
../stats/daily/2020-03-15.csv:wlof aubro,0,0,0,0,4,0,0,0,0,8,28,17,21,13,3,3,15,22,34,4,20,5,0,0,197
../stats/daily/2020-03-16.csv:wlof aubro,0,0,0,0,0,0,0,0,4,4,8,36,29,46,37,9,12,1,27,73,11,43,14,0,354
../stats/daily/2020-03-17.csv:wlof aubro,0,0,0,0,0,0,0,0,4,16,30,11,3,6,17,26,23,6,10,7,1,9,0,0,169
../stats/daily/2020-03-18.csv:wlof aubro,0,0,0,0,0,0,0,2,12,2,0,34,25,7,17,23,14,15,14,4,33,32,3,0,237
../stats/daily/2020-03-19.csv:wlof aubro,0,0,0,0,0,0,1,3,3,13,7,1,9,8,72,38,40,10,40,12,13,8,2,0,280
../stats/daily/2020-03-20.csv:wlof aubro,0,0,0,0,0,0,0,0,1,10,26,4,30,20,11,39,37,45,36,15,18,4,0,0,296
../stats/daily/2020-03-21.csv:wlof aubro,0,0,0,0,2,0,0,0,1,0,9,62,20,11,8,4,31,2,0,16,35,21,0,0,222
../stats/daily/2020-03-22.csv:wlof aubro,0,0,0,0,0,0,0,0,1,0,0,6,4,0,4,19,0,15,9,15,2,4,0,0,79
../stats/daily/2020-03-23.csv:wlof aubro,0,0,0,0,0,0,0,0,10,3,6,9,21,2,5,6,4,46,4,0,11,7,4,0,138
../stats/daily/2020-03-24.csv:wlof aubro,0,0,0,0,0,0,0,0,0,8,39,39,73,6,4,1,0,2,28,0,8,17,3,1,229
../stats/daily/2020-03-25.csv:wlof aubro,0,0,0,0,0,0,0,0,27,17,3,1,0,2,5,5,0,1,2,7,0,6,0,0,76
../stats/daily/2020-03-26.csv:wlof aubro,0,0,0,0,0,0,0,5,0,17,28,13,4,12,0,2,9,11,3,0,0,1,71,81,257
../stats/daily/2020-03-27.csv:wlof aubro,41,0,0,0,0,0,0,1,1,2,0,9,51,15,4,11,0,8,2,1,30,39,0,0,215
../stats/daily/2020-03-28.csv:wlof aubro,0,0,0,0,0,0,0,0,4,15,15,23,57,3,43,45,11,16,24,14,33,15,1,5,324
../stats/daily/2020-03-29.csv:wlof aubro,0,0,0,0,0,0,0,0,1,64,1,21,21,9,0,12,0,3,9,2,27,10,4,0,184
../stats/daily/2020-03-30.csv:wlof aubro,0,0,0,0,0,0,0,5,3,18,5,2,4,7,23,16,10,2,16,6,8,50,7,0,182
../stats/daily/2020-03-31.csv:wlof aubro,0,0,0,0,0,0,0,1,2,3,41,4,0,3,4,2,9,4,0,17,3,0,4,11,108
../stats/daily/2020-04-01.csv:wlof aubro,0,0,0,0,0,0,0,1,0,6,2,14,3,0,0,19,19,16,18,17,1,23,18,0,157
../stats/daily/2020-04-02.csv:wlof aubro,0,0,0,0,0,0,0,0,2,24,14,5,21,50,9,7,10,8,2,16,30,10,3,1,212
../stats/daily/2020-04-03.csv:wlof aubro,0,0,0,0,0,0,0,0,0,15,26,1,2,10,35,15,3,0,0,0,0,0,0,0,107
